USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
AL	0100001	Fort Rucker School District	KG	12	233061598	2735224	      89.986	       1.056	 31.409737	 -85.745807                                                                                         
AL	0100003	Maxwell AFB School District	KG	12	8476761	566857	       3.273	       0.219	 32.380944	 -86.363749                                                                                            
AL	0100005	Albertville City School District	KG	12	68731806	258708	      26.537	       0.100	 34.263130	 -86.210660                                                                                      
AL	0100006	Marshall County School District	PK	12	1267334414	103647100	     489.321	      40.018	 34.373997	 -86.344270                                                                                  
AL	0100007	Hoover City School District	KG	12	121282932	2553269	      46.828	       0.986	 33.376949	 -86.805579                                                                                         
AL	0100008	Madison City School District	PK	12	76680381	340948	      29.606	       0.132	 34.710533	 -86.762280                                                                                          
AL	0100011	Leeds City School District	KG	12	60965255	577181	      23.539	       0.223	 33.542049	 -86.565661                                                                                            
AL	0100012	Boaz City School District	PK	12	37683452	161880	      14.550	       0.063	 34.199020	 -86.155151                                                                                             
AL	0100013	Trussville City School District	KG	12	83431415	946273	      32.213	       0.365	 33.637959	 -86.584047                                                                                       
AL	0100030	Alexander City City School District	KG	12	246657204	43855967	      95.235	      16.933	 32.869022	 -85.951083                                                                                
AL	0100060	Andalusia City School District	KG	12	50909462	405912	      19.656	       0.157	 31.309436	 -86.478031                                                                                        
AL	0100090	Anniston City School District	PK	12	118209414	179314	      45.641	       0.069	 33.673440	 -85.810918                                                                                        
AL	0100100	Arab City School District	PK	12	34154363	346373	      13.187	       0.134	 34.332387	 -86.501167                                                                                             
AL	0100120	Athens City School District	KG	12	102349997	656309	      39.518	       0.253	 34.779021	 -86.950799                                                                                          
AL	0100180	Attalla City School District	PK	12	18079281	0	       6.980	       0.000	 33.986189	 -86.121037                                                                                               
AL	0100185	Saraland City School District	KG	12	60112028	441056	      23.209	       0.170	 30.831585	 -88.094117                                                                                         
AL	0100188	Chickasaw City School District	PK	12	10894952	909156	       4.207	       0.351	 30.771450	 -88.079697                                                                                        
AL	0100189	Satsuma City School District	PK	12	19314308	122488	       7.457	       0.047	 30.857874	 -88.063383                                                                                          
AL	0100190	Alabaster City School District	KG	12	63347020	737693	      24.458	       0.285	 33.219442	 -86.823907                                                                                        
AL	0100210	Auburn City School District	PK	12	152375114	2646161	      58.832	       1.022	 32.607722	 -85.489545                                                                                         
AL	0100240	Autauga County School District	KG	12	1539589643	25769317	     594.439	       9.950	 32.532237	 -86.646440                                                                                    
AL	0100270	Baldwin County School District	PK	12	4117584013	1133129224	    1589.808	     437.504	 30.659218	 -87.746067                                                                                  
AL	0100300	Barbour County School District	PK	12	2138003480	14382066	     825.488	       5.553	 31.870253	 -85.405104                                                                                    
AL	0100330	Bessemer City School District	PK	12	104798632	439841	      40.463	       0.170	 33.370789	 -86.971596                                                                                        
AL	0100360	Bibb County School District	KG	12	1612481559	9287974	     622.583	       3.586	 33.015893	 -87.127148                                                                                        
AL	0100390	Birmingham City School District	PK	12	378356937	6591013	     146.084	       2.545	 33.527444	 -86.799047                                                                                     
AL	0100420	Blount County School District	PK	12	1629972369	14927499	     629.336	       5.764	 33.977358	 -86.566440                                                                                     
AL	0100450	Brewton City School District	KG	12	29028375	609964	      11.208	       0.236	 31.109175	 -87.076583                                                                                          
AL	0100480	Bullock County School District	KG	12	1613059135	6055023	     622.806	       2.338	 32.101759	 -85.717261                                                                                     
AL	0100510	Butler County School District	PK	12	2011976232	2727475	     776.828	       1.053	 31.751667	 -86.681969                                                                                      
AL	0100540	Calhoun County School District	PK	12	1229613200	13906686	     474.756	       5.369	 33.779208	 -85.842799                                                                                    
AL	0100600	Chambers County School District	PK	12	1528841695	17048126	     590.289	       6.582	 32.915504	 -85.394032                                                                                   
AL	0100630	Cherokee County School District	PK	12	1434128031	119806782	     553.720	      46.258	 34.176127	 -85.618196                                                                                  
AL	0100660	Chilton County School District	PK	12	1794482899	20586310	     692.854	       7.948	 32.854051	 -86.726607                                                                                    
AL	0100690	Choctaw County School District	KG	12	2365954971	19059247	     913.500	       7.359	 31.990997	 -88.248908                                                                                    
AL	0100720	Clarke County School District	PK	12	2933606539	36425277	    1132.672	      14.064	 31.664937	 -87.829263                                                                                     
AL	0100750	Clay County School District	KG	12	1564252367	5284573	     603.961	       2.040	 33.270400	 -85.863525                                                                                        
AL	0100780	Cleburne County School District	PK	12	1323790180	2135809	     511.118	       0.825	 33.650489	 -85.521959                                                                                    
AL	0100810	Coffee County School District	PK	12	1402728351	2358227	     541.596	       0.911	 31.394112	 -85.992594                                                                                      
AL	0100840	Colbert County School District	PK	12	1454506437	79638917	     561.588	      30.749	 34.704012	 -87.813037                                                                                    
AL	0100870	Conecuh County School District	PK	12	2201896058	6643480	     850.157	       2.565	 31.430926	 -86.988722                                                                                     
AL	0100900	Coosa County School District	KG	12	1685891509	39946563	     650.926	      15.423	 32.931445	 -86.243482                                                                                      
AL	0100930	Covington County School District	PK	12	2556671491	31723293	     987.136	      12.248	 31.245364	 -86.455382                                                                                  
AL	0100960	Crenshaw County School District	PK	12	1576887783	5376390	     608.840	       2.076	 31.732826	 -86.319222                                                                                    
AL	0100990	Cullman City School District	KG	12	48734677	3091938	      18.817	       1.194	 34.178892	 -86.841887                                                                                         
AL	0101020	Cullman County School District	PK	12	1854306974	49024423	     715.952	      18.928	 34.131923	 -86.869267                                                                                    
AL	0101050	Dale County School District	KG	12	933234045	588255	     360.324	       0.227	 31.492290	 -85.563272                                                                                          
AL	0101080	Daleville City School District	KG	12	156355638	0	      60.369	       0.000	 31.266699	 -85.738765                                                                                            
AL	0101110	Dallas County School District	KG	12	2499041529	37597534	     964.885	      14.516	 32.333540	 -87.114356                                                                                     
AL	0101140	DeKalb County School District	KG	12	1865622918	3200308	     720.321	       1.236	 34.463314	 -85.812056                                                                                      
AL	0101170	Decatur City School District	PK	12	140137122	17594716	      54.107	       6.793	 34.573321	 -86.992135                                                                                       
AL	0101200	Demopolis City School District	PK	12	45941151	837165	      17.738	       0.323	 32.499938	 -87.825426                                                                                        
AL	0101230	Dothan City School District	PK	12	231582640	876793	      89.415	       0.339	 31.233698	 -85.406823                                                                                          
AL	0101260	Elba City School District	KG	12	217407282	1375445	      83.941	       0.531	 31.429429	 -86.107848                                                                                           
AL	0101290	Elmore County School District	PK	12	1364745254	87688162	     526.931	      33.857	 32.602759	 -86.185308                                                                                     
AL	0101320	Enterprise City School District	PK	12	79305520	174204	      30.620	       0.067	 31.326912	 -85.844077                                                                                       
AL	0101350	Escambia County School District	PK	12	2418718731	20262991	     933.873	       7.824	 31.122287	 -87.168410                                                                                   
AL	0101380	Etowah County School District	PK	12	1263875900	31484650	     487.985	      12.156	 34.116116	 -85.895887                                                                                     
AL	0101410	Eufaula City School District	PK	12	153817226	36482611	      59.389	      14.086	 31.910041	 -85.152556                                                                                       
AL	0101440	Fairfield City School District	KG	12	8987176	0	       3.470	       0.000	 33.474705	 -86.919340                                                                                              
AL	0101470	Fayette County School District	KG	12	1553567989	4282557	     599.836	       1.654	 33.708924	 -87.740978                                                                                     
AL	0101530	Florence City School District	PK	12	67609957	522106	      26.104	       0.202	 34.830323	 -87.666139                                                                                         
AL	0101560	Fort Payne City School District	PK	12	147041399	921230	      56.773	       0.356	 34.457329	 -85.689447                                                                                      
AL	0101590	Franklin County School District	PK	12	1606858151	32632156	     620.411	      12.599	 34.441989	 -87.842814                                                                                   
AL	0101620	Gadsden City School District	PK	12	96630456	3060329	      37.309	       1.182	 34.009563	 -86.015643                                                                                         
AL	0101640	Geneva City School District	KG	12	218645870	2514519	      84.420	       0.971	 31.045213	 -85.880053                                                                                         
AL	0101660	Geneva County School District	KG	12	1269064903	9250558	     489.989	       3.572	 31.146772	 -85.662957                                                                                      
AL	0101680	Greene County School District	KG	12	1675993309	33244743	     647.105	      12.836	 32.844497	 -87.964200                                                                                     
AL	0101690	Guntersville City School District	KG	12	65748892	44109667	      25.386	      17.031	 34.367947	 -86.252323                                                                                   
AL	0101710	Hale County School District	PK	12	1667804583	32525874	     643.943	      12.558	 32.752796	 -87.623061                                                                                       
AL	0101720	Haleyville City School District	PK	12	192048269	926136	      74.150	       0.358	 34.211028	 -87.577669                                                                                      
AL	0101730	Hartselle City School District	PK	12	38388174	198372	      14.822	       0.077	 34.438308	 -86.941142                                                                                        
AL	0101740	Henry County School District	PK	12	1454502865	16986823	     561.587	       6.559	 31.516978	 -85.239971                                                                                      
AL	0101760	Homewood City School District	PK	12	21657260	171816	       8.362	       0.066	 33.458550	 -86.809650                                                                                         
AL	0101770	Houston County School District	PK	12	1289968311	3859293	     498.060	       1.490	 31.132817	 -85.281543                                                                                     
AL	0101800	Huntsville City School District	PK	12	537324543	12884881	     207.462	       4.975	 34.687745	 -86.607303                                                                                    
AL	0101830	Jackson County School District	PK	12	2659211607	112092664	    1026.727	      43.279	 34.764114	 -85.980056                                                                                   
AL	0101860	Jacksonville City School District	KG	12	25981585	24984	      10.032	       0.010	 33.806214	 -85.758288                                                                                      
AL	0101890	Jasper City School District	PK	12	73884121	222997	      28.527	       0.086	 33.856035	 -87.270268                                                                                           
AL	0101920	Jefferson County School District	PK	12	2068225672	25371082	     798.546	       9.796	 33.575346	 -86.940474                                                                                  
AL	0101950	Lamar County School District	KG	12	1566544639	1600679	     604.846	       0.618	 33.787085	 -88.087431                                                                                       
AL	0101980	Lanett City School District	KG	12	16167426	0	       6.242	       0.000	 32.857768	 -85.207761                                                                                                
AL	0102010	Lauderdale County School District	PK	12	1661724121	133898818	     641.595	      51.699	 34.904122	 -87.650997                                                                                
AL	0102040	Lawrence County School District	KG	12	1788846346	68687359	     690.677	      26.520	 34.529776	 -87.321865                                                                                   
AL	0102070	Lee County School District	PK	12	1256349147	16411860	     485.079	       6.337	 32.581051	 -85.350306                                                                                        
AL	0102100	Limestone County School District	KG	12	1319248060	121302978	     509.365	      46.835	 34.770706	 -87.032742                                                                                 
AL	0102130	Linden City School District	PK	12	550441591	3062730	     212.527	       1.183	 32.301901	 -87.833754                                                                                         
AL	0102160	Lowndes County School District	KG	12	1854202072	23721045	     715.911	       9.159	 32.147888	 -86.650586                                                                                    
AL	0102190	Macon County School District	PK	12	1577005077	11195999	     608.885	       4.323	 32.387027	 -85.692887                                                                                      
AL	0102220	Madison County School District	PK	12	1478442274	15590218	     570.830	       6.019	 34.795662	 -86.522167                                                                                    
AL	0102250	Marengo County School District	KG	12	1933729573	11094649	     746.617	       4.284	 32.127617	 -87.629114                                                                                    
AL	0102310	Marion County School District	PK	12	1819986817	2996969	     702.701	       1.157	 34.146546	 -87.889415                                                                                      
AL	0102350	Midfield City School District	KG	12	6869817	0	       2.652	       0.000	 33.455197	 -86.922633                                                                                               
AL	0102370	Mobile County School District	PK	12	3093799916	1072379795	    1194.523	     414.048	 30.681569	 -88.199573                                                                                   
AL	0102400	Monroe County School District	PK	12	2656521232	22609677	    1025.689	       8.730	 31.580332	 -87.383266                                                                                     
AL	0102430	Montgomery County School District	PK	12	2022892487	39825946	     781.043	      15.377	 32.202881	 -86.204461                                                                                 
AL	0102480	Morgan County School District	PK	12	1334314220	33582000	     515.182	      12.966	 34.441072	 -86.833188                                                                                     
AL	0102490	Mountain Brook City School District	KG	12	33228843	62886	      12.830	       0.024	 33.491488	 -86.734470                                                                                    
AL	0102520	Muscle Shoals City School District	PK	12	39765816	53102	      15.354	       0.021	 34.743170	 -87.633761                                                                                     
AL	0102550	Oneonta City School District	KG	12	40069506	149959	      15.471	       0.058	 33.947082	 -86.489510                                                                                          
AL	0102580	Opelika City School District	PK	12	154494049	2388300	      59.650	       0.922	 32.660739	 -85.378890                                                                                        
AL	0102610	Opp City School District	KG	12	61289127	2396950	      23.664	       0.925	 31.284375	 -86.257442                                                                                             
AL	0102635	Oxford City School District	KG	12	106842825	1896904	      41.252	       0.732	 33.590091	 -85.852252                                                                                         
AL	0102640	Ozark City School District	KG	12	170458397	692978	      65.814	       0.268	 31.443470	 -85.641292                                                                                           
AL	0102650	Pell City City School District	PK	12	402429261	34625859	     155.379	      13.369	 33.544292	 -86.306880                                                                                     
AL	0102670	Perry County School District	PK	12	1863919953	10918482	     719.664	       4.216	 32.639005	 -87.293827                                                                                      
AL	0102700	Phenix City City School District	PK	12	72271863	325619	      27.904	       0.126	 32.461669	 -85.025021                                                                                      
AL	0102730	Pickens County School District	PK	12	2282893857	22521211	     881.430	       8.695	 33.296793	 -88.096863                                                                                    
AL	0102760	Piedmont City School District	KG	12	231098249	972380	      89.228	       0.375	 33.918005	 -85.513815                                                                                        
AL	0102790	Pike County School District	KG	12	1667656964	2137043	     643.886	       0.825	 31.727419	 -85.792645                                                                                        
AL	0102820	Randolph County School District	KG	12	1455090025	8296503	     561.813	       3.203	 33.296475	 -85.464068                                                                                    
AL	0102850	Roanoke City School District	KG	12	48526075	988793	      18.736	       0.382	 33.145305	 -85.369526                                                                                          
AL	0102880	Russell County School District	PK	12	1598646192	15352289	     617.241	       5.928	 32.269388	 -85.190058                                                                                    
AL	0102910	Russellville City School District	PK	12	34720031	275054	      13.405	       0.106	 34.505737	 -87.728192                                                                                     
AL	0102940	Scottsboro City School District	KG	12	132452163	14564487	      51.140	       5.623	 34.644641	 -86.048205                                                                                    
AL	0102970	Selma City School District	PK	12	35765691	1537275	      13.809	       0.594	 32.417020	 -87.035792                                                                                           
AL	0103000	Sheffield City School District	PK	12	16725183	223244	       6.458	       0.086	 34.755494	 -87.701265                                                                                        
AL	0103030	Shelby County School District	PK	12	1905722115	56969641	     735.803	      21.996	 33.259456	 -86.649424                                                                                     
AL	0103062	St. Clair County School District	PK	12	1222264758	21621089	     471.919	       8.348	 33.769999	 -86.317984                                                                                  
AL	0103090	Sumter County School District	PK	12	2341060793	24432727	     903.889	       9.434	 32.597481	 -88.200057                                                                                     
AL	0103120	Sylacauga City School District	PK	12	52449240	420768	      20.251	       0.162	 33.188919	 -86.274757                                                                                        
AL	0103150	Talladega City School District	KG	12	66056296	209972	      25.504	       0.081	 33.431757	 -86.099454                                                                                        
AL	0103180	Talladega County School District	KG	12	1774112502	60115881	     684.989	      23.211	 33.369314	 -86.175930                                                                                  
AL	0103210	Tallapoosa County School District	KG	12	1600835051	84333875	     618.086	      32.561	 32.857181	 -85.773627                                                                                 
AL	0103240	Tallassee City School District	KG	12	245418825	12781921	      94.757	       4.935	 32.546979	 -85.942735                                                                                     
AL	0103270	Tarrant City School District	KG	12	16473719	82470	       6.361	       0.032	 33.596495	 -86.762522                                                                                           
AL	0103300	Thomasville City School District	PK	12	274005646	117380	     105.794	       0.045	 31.904285	 -87.733579                                                                                     
AL	0103330	Troy City School District	KG	12	73084247	199932	      28.218	       0.077	 31.801960	 -85.967130                                                                                             
AL	0103360	Tuscaloosa City School District	PK	12	152327580	24748759	      58.814	       9.556	 33.233122	 -87.528493                                                                                    
AL	0103390	Tuscaloosa County School District	PK	12	3270792315	51855964	    1262.860	      20.022	 33.321439	 -87.456283                                                                                 
AL	0103420	Tuscumbia City School District	KG	12	23880895	114785	       9.220	       0.044	 34.718502	 -87.702586                                                                                        
AL	0103430	Vestavia Hills City School District	PK	12	50877947	577755	      19.644	       0.223	 33.462496	 -86.739508                                                                                   
AL	0103450	Walker County School District	PK	12	1975297936	36035719	     762.667	      13.913	 33.791558	 -87.301094                                                                                     
AL	0103480	Washington County School District	KG	12	2797722220	21650835	    1080.207	       8.359	 31.405217	 -88.197564                                                                                 
AL	0103510	Wilcox County School District	PK	12	2301199922	48985143	     888.498	      18.913	 31.990085	 -87.304907                                                                                     
AL	0103540	Winfield City School District	PK	12	168111696	307602	      64.908	       0.119	 33.919533	 -87.809033                                                                                        
AL	0103580	Winston County School District	PK	12	1402122102	48053502	     541.362	      18.554	 34.147927	 -87.334155                                                                                    
AK	0200001	Lower Kuskokwim School District	PK	12	55122350876	12872801469	   21282.860	    4970.217	 60.212448	-163.436146                                                                               
AK	0200003	Lower Yukon School District	PK	12	45612599255	5858691172	   17611.124	    2262.053	 62.283060	-163.190903                                                                                    
AK	0200004	Yupiit School District	KG	12	32692679	10775866	      12.623	       4.161	 60.906407	-161.399862                                                                                              
AK	0200005	Kashunamiut School District	KG	12	2562639	54920	       0.989	       0.021	 61.531066	-165.597199                                                                                             
AK	0200007	Aleutians East Borough School District	PK	12	18082872046	20793145623	    6981.836	    8028.279	 55.245044	-161.997477                                                                        
AK	0200010	Aleutian Region School District	KG	12	10886553827	23886360877	    4203.322	    9222.576	 51.959447	+178.338813                                                                               
AK	0200020	Bering Strait School District	PK	12	59441046136	13744707835	   22950.317	    5306.862	 64.783686	-164.188912                                                                                 
AK	0200030	Bristol Bay Borough School District	PK	12	1304962195	993834934	     503.849	     383.722	 58.730158	-156.996632                                                                              
AK	0200050	Alaska Gateway School District	PK	12	48243712657	333974755	   18627.002	     128.948	 63.564531	-142.733937                                                                                  
AK	0200060	Cordova City School District	PK	12	155311802	40634605	      59.966	      15.689	 60.530138	-145.642065                                                                                       
AK	0200070	Copper River School District	PK	12	60955225040	1181434174	   23534.945	     456.154	 61.795301	-144.134037                                                                                   
AK	0200090	Craig City School District	KG	12	18654310	6010703	       7.202	       2.321	 55.488233	-133.111069                                                                                           
AK	0200100	Delta/Greely School District	PK	12	14544307346	350469648	    5615.589	     135.317	 63.825474	-145.698317                                                                                    
AK	0200120	Dillingham City School District	PK	12	86946428	7195792	      33.570	       2.778	 59.060472	-158.532223                                                                                      
AK	0200130	Galena City School District	PK	12	45900503	16497077	      17.722	       6.370	 64.729425	-156.872967                                                                                         
AK	0200150	Ketchikan Gateway Borough School District	PK	12	12583284815	4649397284	    4858.434	    1795.142	 55.449938	-131.106685                                                                      
AK	0200180	Anchorage School District	PK	12	4420343302	663023276	    1706.704	     255.995	 61.174250	-149.284329                                                                                        
AK	0200210	Juneau Borough School District	PK	12	6998182120	1429472851	    2702.013	     551.923	 58.372910	-134.178445                                                                                  
AK	0200240	Sitka Borough School District	PK	12	7434275351	5027235337	    2870.390	    1941.026	 57.193204	-135.367396                                                                                   
AK	0200270	Haines Borough School District	KG	12	6009021796	1049986571	    2320.096	     405.402	 59.098771	-135.576936                                                                                  
AK	0200300	Hoonah City School District	KG	12	15555019	3319359	       6.006	       1.282	 58.122421	-135.432770                                                                                          
AK	0200330	Hydaburg City School District	KG	12	1506298	5839	       0.582	       0.002	 55.204120	-132.818341                                                                                            
AK	0200360	Kake City School District	KG	12	23210322	15564766	       8.962	       6.010	 56.977698	-133.904393                                                                                           
AK	0200390	Kenai Peninsula Borough School District	PK	12	41634738098	22473667447	   16075.263	    8677.132	 59.983671	-151.723024                                                                       
AK	0200450	Klawock City School District	KG	12	1986340	556712	       0.767	       0.215	 55.556430	-133.086264                                                                                           
AK	0200480	Kodiak Island Borough School District	PK	12	16965364377	14171111659	    6550.364	    5471.497	 57.502015	-153.563512                                                                         
AK	0200485	Lake And Peninsula School District	PK	12	60735993529	24532276414	   23450.299	    9471.965	 58.205065	-156.705188                                                                            
AK	0200510	Matanuska-Susitna Borough School District	PK	12	63734631763	1682661470	   24608.080	     649.679	 62.279075	-149.617562                                                                      
AK	0200520	Iditarod Area School District	PK	12	104590398337	1419103567	   40382.580	     547.919	 62.704548	-156.155269                                                                                 
AK	0200525	Annette Island School District	PK	12	343946421	213611590	     132.798	      82.476	 55.138352	-131.470424                                                                                    
AK	0200540	Nenana City School District	PK	12	15268757	147278	       5.895	       0.057	 64.543340	-149.071248                                                                                           
AK	0200570	Nome School District	KG	12	32722536	23269656	      12.634	       8.984	 64.505736	-165.415307                                                                                                
AK	0200600	Fairbanks North Star Borough School District	PK	12	19019023800	275189755	    7343.286	     106.251	 64.692317	-146.601733                                                                    
AK	0200610	North Slope Borough School District	PK	12	230092740514	15795362153	   88839.308	    6098.624	 69.449343	-153.472830                                                                          
AK	0200625	Northwest Arctic Borough School District	PK	12	92295122743	12906736753	   35635.348	    4983.319	 67.005066	-160.021086                                                                      
AK	0200630	Pelican City School District	PK	12	1563421	303456	       0.604	       0.117	 57.959800	-136.216754                                                                                           
AK	0200660	Petersburg Borough School District	KG	12	7556529587	2399243232	    2917.593	     926.353	 57.112458	-133.008598                                                                              
AK	0200670	Pribilof School District	KG	12	194414803	1043002126	      75.064	     402.705	 57.049508	-170.406225                                                                                         
AK	0200680	St. Marys City School District	PK	12	114715077	16401693	      44.292	       6.333	 62.065286	-163.249479                                                                                     
AK	0200690	Skagway School District	KG	12	1171510537	30331285	     452.323	      11.711	 59.575097	-135.335418                                                                                           
AK	0200700	Southeast Island School District	KG	12	13239238387	14302785349	    5111.699	    5522.337	 55.729248	-133.224194                                                                              
AK	0200710	Southwest Region School District	KG	12	48006501844	6069943375	   18535.415	    2343.618	 60.298270	-158.096148                                                                               
AK	0200715	Tanana School District	KG	12	28595093	12025525	      11.041	       4.643	 65.184555	-152.054643                                                                                              
AK	0200720	Unalaska City School District	PK	12	289526679	261279178	     111.787	     100.880	 53.910799	-166.527446                                                                                     
AK	0200730	Chatham School District	KG	12	16949245604	7796042892	    6544.141	    3010.069	 58.403336	-135.884909                                                                                        
AK	0200760	Kuspuk School District	PK	12	29513383643	596967965	   11395.182	     230.491	 61.523552	-158.036092                                                                                          
AK	0200770	Denali Borough School District	KG	12	33015947847	66068782	   12747.529	      25.509	 63.681106	-150.026544                                                                                   
AK	0200775	Yukon Flats School District	PK	12	139591604051	2552062868	   53896.622	     985.357	 66.719685	-145.258769                                                                                   
AK	0200780	Valdez City School District	PK	12	560049656	154468481	     216.236	      59.641	 61.083621	-146.317179                                                                                       
AK	0200800	Chugach School District	PK	12	24282494135	14389453102	    9375.524	    5555.799	 60.488474	-146.203092                                                                                       
AK	0200810	Wrangell City School District	KG	12	6582396275	2384301874	    2541.478	     920.584	 56.180779	-132.026788                                                                                   
AK	0200840	Yakutat City School District	KG	12	19811664933	4696568493	    7649.327	    1813.355	 60.007062	-140.148108                                                                                   
AK	0200862	Yukon-Koyukuk School District	PK	12	155553942946	2192134043	   60059.716	     846.388	 65.634478	-154.325196                                                                                 
AZ	0400001	Cave Creek Unified District	PK	12	538358255	136942	     207.861	       0.053	 33.768229	-111.858841                                                                                          
AZ	0400003	Chino Valley Unified District	PK	12	1041558725	157636	     402.148	       0.061	 34.859425	-112.446729                                                                                       
AZ	0400021	Colorado City Unified District	PK	12	2161284898	863717	     834.477	       0.333	 36.687258	-113.115693                                                                                      
AZ	0400023	Pinon Unified District	PK	12	2436156471	470679	     940.605	       0.182	 36.132330	-110.349847                                                                                              
AZ	0400026	Heber-Overgaard Unified District	PK	12	1494550170	6967158	     577.049	       2.690	 34.465259	-110.561202                                                                                   
AZ	0400212	Benson Unified School District	PK	12	1515151454	844008	     585.003	       0.326	 32.154572	-110.232333                                                                                      
AZ	0400295	Kingman Unified School District	PK	12	7819677587	233358062	    3019.195	      90.100	 35.569785	-114.171523                                                                                  
AZ	0400520	Ajo Unified District	PK	12	344979445	0	     133.197	       0.000	 32.418351	-112.821419                                                                                                      
AZ	0400680	Amphitheater Unified District	PK	12	282467858	535621	     109.061	       0.207	 32.412977	-110.963599                                                                                        
AZ	0400790	Apache Junction Unified District	PK	12	561935478	76198	     216.965	       0.029	 33.384649	-111.422069                                                                                      
AZ	0400910	Ash Fork Joint Unified District	PK	12	971740606	49936	     375.191	       0.019	 35.160033	-112.551179                                                                                       
AZ	0401000	Bagdad Unified School District	PK	12	1226504487	57427	     473.556	       0.022	 34.573384	-113.143880                                                                                       
AZ	0401180	Bisbee Unified District	PK	12	879145591	3495215	     339.440	       1.350	 31.472333	-109.830116                                                                                             
AZ	0401330	Bowie Unified District	PK	12	1024770989	507064	     395.666	       0.196	 32.284581	-109.493466                                                                                              
AZ	0401460	Sierra Vista Unified District	PK	12	279708312	560771	     107.996	       0.217	 31.532984	-110.219356                                                                                        
AZ	0401600	Camp Verde Unified District	PK	12	1143067243	128223	     441.341	       0.050	 34.486956	-111.785347                                                                                         
AZ	0401760	Catalina Foothills Unified District	PK	12	65463190	0	      25.275	       0.000	 32.315498	-110.884371                                                                                        
AZ	0401810	Cedar Unified District	PK	12	3204217176	1393117	    1237.155	       0.538	 35.764591	-110.400336                                                                                             
AZ	0401870	Chandler Unified District	PK	12	205602193	504382	      79.383	       0.195	 33.259646	-111.810465                                                                                            
AZ	0401940	Chinle Unified District	PK	12	5869418490	11705631	    2266.195	       4.520	 36.156387	-109.528703                                                                                           
AZ	0402110	Clifton Unified District	PK	12	767594508	3381537	     296.370	       1.306	 33.102842	-109.190676                                                                                            
AZ	0402320	Coolidge Unified District	PK	12	678516515	2112304	     261.977	       0.816	 33.038936	-111.597717                                                                                           
AZ	0402530	Douglas Unified District	PK	12	1249342826	2642269	     482.374	       1.020	 31.427662	-109.271823                                                                                           
AZ	0402600	Duncan Unified District	PK	12	1214653558	3426888	     468.980	       1.323	 32.750987	-109.196646                                                                                            
AZ	0402690	Dysart Unified District	PK	12	331084611	647774	     127.832	       0.250	 33.628408	-112.416104                                                                                              
AZ	0402860	Flagstaff Unified District	PK	12	11429847822	36916059	    4413.089	      14.253	 35.156769	-111.347621                                                                                       
AZ	0402920	Florence Unified School District	PK	12	2407884324	1542496	     929.689	       0.596	 32.943719	-111.222332                                                                                   
AZ	0403010	Flowing Wells Unified District	PK	12	30988859	496444	      11.965	       0.192	 32.296064	-111.025859                                                                                        
AZ	0403040	Fountain Hills Unified District	PK	12	63754613	237133	      24.616	       0.092	 33.607452	-111.722236                                                                                       
AZ	0403080	Fredonia-Moccasin Unified District	PK	12	9667910633	32023943	    3732.801	      12.365	 36.617687	-112.299280                                                                                
AZ	0403150	Fort Huachuca Accommodation District	PK	12	328559358	152613	     126.857	       0.059	 31.567296	-110.330229                                                                                 
AZ	0403200	Fort Thomas Unified District	PK	12	2637995745	28132928	    1018.536	      10.862	 33.211178	-110.108648                                                                                      
AZ	0403290	Ganado Unified District	PK	12	2274987682	2963655	     878.378	       1.144	 35.667645	-109.606003                                                                                            
